#{"t_start": 1774737337.9330404, "env_id": "None"}
r,l,t
-35.0,9,12.704221
20.0,9,12.71683
91.0,9,12.728842
48.0,9,12.741303
90.0,11,12.758062
205.0,18,12.785976
-20.0,6,12.794976
35.0,9,12.809043
157.0,12,12.827384
50.0,9,12.83988
10.0,7,12.85026
218.0,11,12.864767
70.0,9,12.875365
100.0,14,12.894336
108.0,11,12.909824
80.0,9,12.920824
108.0,9,12.932825
43.0,7,12.941417
5.0,6,12.945087
46.0,9,12.952075
0.0,10,12.958965
30.0,8,12.965297
58.0,7,12.97102
20.0,7,12.977825
-8.0,9,12.984642
121.0,16,12.994844
73.0,9,13.00166
100.0,10,13.006216
93.0,9,13.013149
188.0,18,13.024567
190.0,14,13.034798
33.0,9,13.04057
43.0,8,13.046299
-85.0,5,13.049719
73.0,10,13.056634
95.0,10,13.061241
175.0,16,13.07204
100.0,9,13.087911
-38.0,9,13.100255
143.0,11,13.118515
100.0,11,13.139679
160.0,14,13.172385
175.0,9,13.191223
86.0,14,13.212349
115.0,9,13.229966
221.0,12,13.24921
206.0,9,13.263058
25.0,7,13.273532
5.0,7,13.284593
218.0,12,13.301391
69.0,9,13.31609
208.0,10,13.332744
80.0,12,13.348796
163.0,10,13.36749
37.0,8,13.384344
188.0,10,13.400377
85.0,9,13.413214
-65.0,9,13.424286
35.0,7,13.435394
85.0,10,13.451313
163.0,12,13.477007
118.0,12,13.507314
78.0,6,13.520305
-45.0,8,13.53651
88.0,9,13.55622
132.0,12,13.579441
85.0,12,13.601331
-30.0,9,13.619836
0.0,9,13.636278
107.0,10,13.652871
8.0,9,13.666371
155.0,10,13.682067
83.0,9,13.695561
65.0,9,13.707187
40.0,8,13.719406
95.0,11,13.736191
106.0,15,13.758441
72.0,6,13.767836
123.0,10,13.783081
140.0,11,13.799889
-20.0,6,13.8088
35.0,9,13.822116
132.0,10,13.835322
17.0,9,13.846959
-10.0,5,13.855666
107.0,13,13.873873
119.0,17,13.894939
23.0,10,13.908275
135.0,9,13.920068
58.0,7,13.932759
23.0,10,13.947276
42.0,9,13.963985
152.0,9,13.979484
142.0,10,13.995495
126.0,14,14.018494
166.0,14,14.042766
75.0,9,14.057915
115.0,10,14.075386
88.0,6,14.088831
28.0,9,14.104522
201.0,17,14.130684
80.0,9,14.142666
110.0,8,14.154504
42.0,9,14.169283
170.0,17,14.195022
70.0,12,14.209574
140.0,9,14.222298
55.0,15,14.243254
95.0,9,14.25552
73.0,8,14.267213
42.0,10,14.281233
37.0,12,14.29957
151.0,9,14.31439
33.0,12,14.332243
174.0,10,14.346691
193.0,9,14.360077
73.0,7,14.369537
93.0,7,14.3808
88.0,10,14.394422
33.0,10,14.40881
85.0,8,14.41868
-50.0,4,14.425362
175.0,15,14.441901
150.0,9,14.449401
195.0,9,14.454937
100.0,11,14.465679
143.0,14,14.484583
101.0,10,14.498174
0.0,8,14.514128
77.0,13,14.535606
13.0,7,14.546789
85.0,12,14.565106
120.0,13,14.58422
68.0,15,14.607566
130.0,12,14.624996
68.0,5,14.632859
261.0,13,14.658498
70.0,8,14.676754
219.0,14,14.697884
156.0,15,14.719047
66.0,9,14.73271
125.0,9,14.746421
180.0,13,14.763045
115.0,12,17.485911
70.0,8,17.500874
173.0,9,17.513153
93.0,7,17.524329
241.0,11,17.538134
116.0,10,17.551783
75.0,14,17.570455
133.0,12,17.58931
163.0,11,17.605331
121.0,13,17.627638
105.0,9,17.642847
90.0,6,17.652267
157.0,13,17.67505
110.0,5,17.685288
176.0,14,17.70671
29.0,13,17.725912
186.0,13,17.746825
20.0,7,17.758808
-25.0,5,17.765756
83.0,7,17.779231
-22.0,5,17.789824
120.0,6,17.799867
108.0,14,17.820007
30.0,9,17.832439
85.0,9,17.847053
55.0,7,17.858133
242.0,13,17.875281
270.0,21,17.902315
94.0,10,17.915027
78.0,11,17.934
109.0,13,17.952578
147.0,10,17.959581
162.0,12,17.967675
156.0,9,17.974924
168.0,10,17.981773
219.0,15,17.991632
164.0,15,18.000838
95.0,9,18.007672
107.0,8,18.017736
159.0,12,18.034611
110.0,5,18.041304
168.0,14,18.059325
75.0,10,18.073057
155.0,14,18.092524
65.0,6,18.101436
149.0,13,18.118103
-65.0,6,18.127137
227.0,15,18.147465
45.0,9,18.160539
113.0,9,18.175755
50.0,8,18.191912
75.0,9,18.206506
98.0,5,18.215803
168.0,7,18.229377
184.0,17,18.259037
65.0,6,18.271629
169.0,14,18.296246
76.0,13,18.317212
245.0,18,18.351664
128.0,10,18.369819
108.0,9,18.388202
180.0,13,18.407125
141.0,14,18.434491
200.0,18,18.463092
158.0,10,18.476639
95.0,9,18.490654
138.0,7,18.500134
112.0,11,18.514974
118.0,10,18.525494
122.0,9,18.533566
155.0,8,18.541332
165.0,18,18.554846
123.0,13,18.564952
157.0,9,18.571679
125.0,11,18.579334
100.0,9,18.583802
185.0,19,18.594064
88.0,12,18.601701
77.0,5,18.606232
261.0,15,18.627644
-30.0,5,18.635262
179.0,10,18.648655
153.0,10,18.66108
103.0,11,18.675982
197.0,17,18.697084
56.0,9,18.708989
65.0,12,18.723929
100.0,10,18.738576
91.0,12,18.754542
125.0,11,18.768284
153.0,9,18.780458
116.0,13,18.79844
346.0,23,18.834014
150.0,10,18.851514
87.0,14,18.875614
157.0,8,18.890235
70.0,5,18.900352
135.0,11,18.915903
215.0,22,18.943816
183.0,9,18.963184
219.0,13,18.980907
76.0,5,18.988545
251.0,14,19.005252
105.0,7,19.015743
202.0,16,19.035049
18.0,6,19.044444
22.0,9,19.05533
43.0,10,19.067664
110.0,17,19.091886
105.0,12,19.109851
65.0,5,19.118458
145.0,9,19.130006
100.0,7,19.140072
277.0,20,19.166011
102.0,9,19.177217
65.0,9,19.188087
171.0,11,19.203905
95.0,13,19.220461
182.0,13,19.237311
15.0,5,19.243119
120.0,10,19.256353
168.0,8,19.268714
175.0,14,19.285299
70.0,9,19.295153
175.0,12,19.312262
68.0,7,19.32174
85.0,9,19.333522
143.0,15,19.356949
73.0,9,19.370763
243.0,18,19.400352
223.0,15,19.423754
75.0,7,19.432548
250.0,16,19.450874
115.0,5,19.457929
170.0,9,19.469335
23.0,6,19.477847
83.0,9,19.490182
119.0,12,19.504352
140.0,7,19.5141
168.0,10,19.527122
156.0,11,19.540936
80.0,6,19.548426
120.0,14,19.565461
78.0,7,19.573713
210.0,14,19.581663
172.0,11,19.588453
191.0,11,19.596269
155.0,14,19.605312
93.0,10,19.612126
61.0,7,19.617755
126.0,15,19.627893
155.0,9,19.634663
30.0,9,19.639208
-35.0,4,19.641536
40.0,6,19.644943
203.0,13,19.652913
13.0,8,19.658165
85.0,7,19.66279
143.0,9,19.668796
178.0,11,19.67381
125.0,11,19.680203
158.0,8,19.686509
77.0,16,19.695004
78.0,10,19.701491
70.0,9,19.706802
51.0,9,19.713806
137.0,12,19.720204
85.0,7,19.723758
176.0,12,19.732226
115.0,9,19.738463
128.0,13,19.746275
205.0,15,19.756948
269.0,17,19.766815
5.0,8,19.772227
98.0,9,19.777631
138.0,10,19.784644
110.0,9,19.790322
148.0,9,19.796619
86.0,14,19.806293
100.0,9,19.8126
115.0,9,19.818947
141.0,9,19.824458
87.0,11,19.831248
178.0,11,19.837952
98.0,9,19.844079
140.0,10,19.850317
137.0,15,19.859055
115.0,6,19.863142
232.0,17,19.873563
123.0,7,19.878963
166.0,9,19.884291
75.0,10,19.88974
108.0,13,19.90778
141.0,12,22.630688
95.0,9,22.643402
-15.0,6,22.651402
125.0,5,22.660403
148.0,11,22.674513
160.0,9,22.686727
421.0,22,22.715256
205.0,13,22.730128
156.0,14,22.749128
155.0,9,22.760637
20.0,5,22.768639
123.0,6,22.775149
202.0,8,22.786065
97.0,7,22.795575
91.0,11,22.811798
213.0,9,22.825386
93.0,12,22.841896
181.0,9,22.854406
212.0,10,22.86841
189.0,10,22.881431
146.0,17,22.901613
150.0,10,22.915936
95.0,9,22.928376
145.0,8,22.938376
220.0,23,22.976854
108.0,10,23.00345
217.0,14,23.034209
268.0,15,23.053253
208.0,12,23.071258
93.0,9,23.086089
100.0,10,23.100089
150.0,9,23.113089
183.0,9,23.127554
108.0,8,23.141244
131.0,10,23.154244
180.0,14,23.173248
148.0,8,23.184761
183.0,10,23.196862
263.0,18,23.218875
28.0,6,23.22788
316.0,16,23.249144
103.0,9,23.26094
197.0,9,23.274218
78.0,10,23.289384
80.0,9,23.302443
227.0,13,23.318383
116.0,12,23.334854
100.0,10,23.349105
209.0,19,23.361586
283.0,16,23.376198
222.0,10,23.389144
173.0,13,23.405553
61.0,9,23.418862
209.0,11,23.435707
145.0,8,23.44943
130.0,14,23.466534
161.0,10,23.479491
98.0,9,23.491677
231.0,18,23.516071
249.0,19,23.538574
73.0,11,23.552953
45.0,8,23.564191
111.0,13,23.581878
170.0,10,23.601161
238.0,14,23.625191
156.0,12,23.640974
151.0,7,23.651205
331.0,25,23.681408
121.0,9,23.69388
145.0,11,23.708529
193.0,22,23.735767
128.0,13,23.754915
85.0,13,23.772109
100.0,9,23.784753
170.0,15,23.805484
-30.0,5,23.812553
308.0,22,23.847132
135.0,9,23.858864
43.0,13,23.880243
182.0,9,23.895318
115.0,10,23.908712
130.0,11,23.92216
190.0,11,23.937246
161.0,12,23.95353
213.0,13,23.974181
95.0,10,23.986127
37.0,9,23.998384
107.0,9,24.010209
180.0,9,24.022951
182.0,12,24.038602
170.0,16,24.094583
131.0,13,24.114024
201.0,13,24.132032
218.0,13,24.150057
123.0,17,24.170571
233.0,14,24.190918
139.0,10,24.204317
143.0,11,24.218755
28.0,6,24.226691
350.0,24,24.254529
143.0,8,24.266888
133.0,13,24.284661
157.0,11,24.298953
131.0,10,24.313206
72.0,9,24.326536
245.0,17,24.348794
155.0,15,24.369124
160.0,11,24.38538
221.0,9,24.399963
201.0,11,24.423195
227.0,15,24.444489
125.0,11,24.459961
103.0,13,24.476777
156.0,12,24.493311
211.0,14,24.514034
144.0,10,24.529906
129.0,9,24.545843
85.0,7,24.55655
243.0,14,24.579848
275.0,13,24.601933
118.0,10,24.617769
197.0,11,24.643196
146.0,16,24.670931
147.0,10,24.688835
243.0,17,24.716902
151.0,9,24.733349
22.0,8,24.748077
251.0,14,24.767916
206.0,10,24.783518
275.0,16,24.805356
188.0,11,24.82179
60.0,7,24.832945
185.0,9,24.846238
178.0,9,24.860803
83.0,8,24.872661
312.0,16,24.8968
166.0,11,24.917571
84.0,9,24.935163
295.0,13,24.959524
175.0,11,24.975735
163.0,10,24.992153
171.0,11,25.00924
176.0,10,25.028073
130.0,11,25.050029
205.0,13,25.069861
115.0,6,25.079158
234.0,11,25.09494
76.0,6,25.103587
46.0,12,25.119359
135.0,8,25.131539
193.0,10,25.144634
162.0,14,25.164432
229.0,17,25.189911
141.0,9,25.202176
38.0,5,25.210711
181.0,10,25.225086
102.0,9,25.237659
5.0,5,25.245924
6.0,12,25.262539
167.0,15,25.393668
251.0,10,25.409592
268.0,17,25.434979
145.0,9,25.450696
115.0,9,25.465181
251.0,18,25.489821
95.0,7,25.49988
73.0,9,25.514616
218.0,9,25.529114
141.0,18,25.553614
